#=====================================================
# File created:        Wed-13-Mar-2024-at-02-27-30AM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        2.494044
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2569.7116  0.2625 
   00001    0.6812   -3722.8718  0.2626 
   00002    0.6256   -4589.8690  0.2597 
   00003    0.5868   -5223.5824  0.2632 
   00004    0.5628   -5671.8583  0.2529 
   00005    0.5340   -5947.5442  0.2553 
   00006    0.5172   -6172.6492  0.2523 
   00007    0.5004   -6347.8694  0.2603 
   00008    0.5052   -6537.4043  0.2611 
   00009    0.4648   -6699.4269  0.2626 
   00010    0.4884   -6894.4569  0.2539 
   00011    0.4864   -7001.9777  0.2599 
   00012    0.4688   -7159.1135  0.2592 
   00013    0.4532   -7261.1610  0.2647 
   00014    0.4632   -7348.6861  0.2643 
   00015    0.4596   -7409.2693  0.2687 
   00016    0.4404   -7476.3832  0.2718 
   00017    0.4616   -7533.4954  0.2737 
   00018    0.4396   -7628.1161  0.2764 
   00019    0.4400   -7639.9144  0.2738 
   00020    0.4640   -7618.6615  0.2699 
   00021    0.4636   -7656.9924  0.2648 
   00022    0.4528   -7705.1105  0.2711 
   00023    0.4416   -7685.9871  0.2711 
   00024    0.4444   -7707.5340  0.2656 
   00025    0.4296   -7749.5255  0.2713 
   00026    0.4588   -7792.0300  0.2696 
   00027    0.4432   -7799.9567  0.2760 
   00028    0.4380   -7873.9568  0.2803 
   00029    0.4396   -7912.3250  0.2789 
   00030    0.4408   -7937.5156  0.2773 
   00031    0.4140   -7939.2017  0.2752 
   00032    0.4392   -7913.0232  0.2789 
   00033    0.4184   -7910.1371  0.2767 
   00034    0.4264   -7974.1128  0.2787 
   00035    0.4184   -7992.7406  0.2788 
   00036    0.4428   -8048.3360  0.2783 
   00037    0.4204   -8001.0513  0.2877 
   00038    0.4412   -8042.2517  0.2836 
   00039    0.4136   -8030.4843  0.2847 
   00040    0.4144   -8082.2321  0.2882 
   00041    0.4268   -8065.1332  0.2926 
   00042    0.4260   -8069.9813  0.2870 
   00043    0.4252   -8063.3478  0.2824 
   00044    0.4268   -8060.2220  0.2827 
   00045    0.4516   -8047.5629  0.2833 
   00046    0.4204   -8050.5098  0.2912 
   00047    0.4296   -8069.0038  0.2936 
   00048    0.4212   -8112.8413  0.2943 
   00049    0.4388   -8105.7588  0.2953 
   00050    0.4208   -8119.4597  0.2980 
