#=====================================================
# File created:        Wed-13-Mar-2024-at-02-17-09AM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.983887
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2554.7816  0.2638 
   00001    0.6796   -3728.1301  0.2555 
   00002    0.6188   -4511.5700  0.2559 
   00003    0.5844   -5156.1279  0.2611 
   00004    0.5500   -5534.5429  0.2664 
   00005    0.5384   -5874.2235  0.2591 
   00006    0.5188   -6146.1375  0.2611 
   00007    0.4996   -6316.4300  0.2599 
   00008    0.4828   -6500.5341  0.2641 
   00009    0.4940   -6702.5056  0.2677 
   00010    0.4680   -6849.6310  0.2667 
   00011    0.4676   -7008.7168  0.2628 
   00012    0.4616   -7111.9424  0.2676 
   00013    0.4572   -7284.5682  0.2864 
   00014    0.4508   -7319.9342  0.2931 
   00015    0.4608   -7369.5278  0.2902 
   00016    0.4580   -7407.5720  0.2921 
   00017    0.4592   -7471.5149  0.2974 
   00018    0.4520   -7577.0193  0.3036 
   00019    0.4376   -7612.4530  0.2979 
   00020    0.4320   -7646.4999  0.3007 
   00021    0.4432   -7699.6865  0.2974 
   00022    0.4332   -7734.9313  0.3043 
   00023    0.4396   -7777.8409  0.3023 
   00024    0.4348   -7820.4866  0.3043 
   00025    0.4444   -7780.5666  0.3137 
   00026    0.4260   -7837.5706  0.3148 
   00027    0.4396   -7846.3977  0.3131 
   00028    0.4316   -7859.8835  0.3177 
   00029    0.4156   -7877.5934  0.3158 
   00030    0.4264   -7894.8274  0.3132 
   00031    0.4324   -7891.1553  0.3154 
   00032    0.4212   -7889.3767  0.3141 
   00033    0.4152   -7913.6448  0.3161 
   00034    0.4428   -7954.7296  0.3131 
   00035    0.4204   -7958.7384  0.3146 
   00036    0.4340   -7963.1243  0.3153 
   00037    0.4120   -7989.2743  0.3154 
   00038    0.4304   -8005.5078  0.3153 
   00039    0.4372   -8033.9386  0.3137 
   00040    0.4336   -8008.8143  0.3130 
   00041    0.4336   -7972.8081  0.3071 
   00042    0.4512   -8016.2109  0.3044 
   00043    0.4452   -8016.0844  0.3065 
   00044    0.4372   -8065.4382  0.3063 
   00045    0.4376   -8048.3104  0.3015 
   00046    0.4236   -7991.2562  0.3021 
   00047    0.4244   -8020.2034  0.2966 
   00048    0.4408   -8048.3388  0.2996 
   00049    0.4292   -8064.6585  0.2959 
   00050    0.4428   -8066.1794  0.2985 
