#=====================================================
# File created:        Tue-12-Mar-2024-at-09-00-41PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        2.529357
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2369.2658  0.2729 
   00001    0.6952   -3532.4959  0.2705 
   00002    0.6476   -4393.0466  0.2650 
   00003    0.5744   -4924.9543  0.2652 
   00004    0.5652   -5355.7000  0.2630 
   00005    0.5512   -5673.2614  0.2657 
   00006    0.5232   -6025.0738  0.2705 
   00007    0.5160   -6227.8221  0.2745 
   00008    0.5016   -6435.4016  0.2769 
   00009    0.4900   -6559.8701  0.2725 
   00010    0.4948   -6819.3170  0.2747 
   00011    0.4688   -6969.5879  0.2738 
   00012    0.4480   -7114.8132  0.2708 
   00013    0.4644   -7211.0698  0.2764 
   00014    0.4572   -7288.8537  0.2739 
   00015    0.4652   -7344.5702  0.2807 
   00016    0.4516   -7429.7115  0.2780 
   00017    0.4484   -7532.5851  0.2835 
   00018    0.4480   -7558.3427  0.2854 
   00019    0.4396   -7596.1640  0.2880 
   00020    0.4648   -7583.5818  0.2817 
   00021    0.4320   -7637.7793  0.2841 
   00022    0.4436   -7684.7556  0.2891 
   00023    0.4264   -7720.3092  0.2964 
   00024    0.4316   -7754.2580  0.3018 
   00025    0.4588   -7774.4070  0.2936 
   00026    0.4432   -7748.1936  0.2975 
   00027    0.4664   -7774.9784  0.2973 
   00028    0.4416   -7775.0796  0.2876 
   00029    0.4512   -7823.8557  0.2877 
   00030    0.4320   -7878.6676  0.2865 
   00031    0.4164   -7871.7544  0.2875 
   00032    0.4264   -7856.0257  0.2912 
   00033    0.4560   -7849.8755  0.2886 
   00034    0.4224   -7927.6841  0.2883 
   00035    0.4544   -7947.9927  0.2868 
   00036    0.4304   -7955.3795  0.2790 
   00037    0.4192   -8012.0873  0.2768 
   00038    0.4164   -8037.0229  0.2719 
   00039    0.4396   -8065.6083  0.2741 
   00040    0.4264   -8044.4291  0.2749 
   00041    0.4156   -8041.7566  0.2782 
   00042    0.4332   -7987.0796  0.2818 
   00043    0.4360   -8043.1674  0.2842 
   00044    0.4324   -8050.0378  0.2804 
   00045    0.4320   -8085.0701  0.2746 
   00046    0.4436   -8017.4359  0.2757 
   00047    0.4300   -8015.3395  0.2802 
   00048    0.4300   -8070.2206  0.2865 
   00049    0.4332   -8134.9666  0.2835 
   00050    0.4236   -8159.9964  0.2820 
