#=====================================================
# File created:        Wed-13-Mar-2024-at-10-32-37AM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        2.612235
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2556.0653  0.2544 
   00001    0.6808   -3709.2071  0.2526 
   00002    0.6348   -4588.1060  0.2578 
   00003    0.5736   -5123.4034  0.2569 
   00004    0.5748   -5461.1691  0.2637 
   00005    0.5444   -5809.2091  0.2641 
   00006    0.5080   -6081.5118  0.2524 
   00007    0.5312   -6318.6757  0.2508 
   00008    0.4876   -6552.4781  0.2524 
   00009    0.4812   -6724.7826  0.2640 
   00010    0.4600   -6848.9148  0.2621 
   00011    0.4784   -6906.0076  0.2635 
   00012    0.4692   -6997.6194  0.2554 
   00013    0.4692   -7129.6170  0.2678 
   00014    0.4596   -7222.8275  0.2607 
   00015    0.4428   -7279.5614  0.2624 
   00016    0.4872   -7339.4055  0.2591 
   00017    0.4544   -7426.0172  0.2615 
   00018    0.4540   -7467.0939  0.2592 
   00019    0.4480   -7509.4784  0.2608 
   00020    0.4480   -7492.7832  0.2620 
   00021    0.4504   -7539.2457  0.2560 
   00022    0.4300   -7590.8240  0.2514 
   00023    0.4512   -7630.4784  0.2550 
   00024    0.4404   -7626.0633  0.2547 
   00025    0.4440   -7664.0025  0.2609 
   00026    0.4340   -7665.5025  0.2568 
   00027    0.4472   -7708.1202  0.2594 
   00028    0.4468   -7755.8315  0.2602 
   00029    0.4432   -7787.3842  0.2583 
   00030    0.4360   -7783.5826  0.2634 
   00031    0.4400   -7818.2945  0.2554 
   00032    0.4428   -7824.5740  0.2614 
   00033    0.4432   -7835.4059  0.2639 
   00034    0.4196   -7834.8187  0.2673 
   00035    0.4564   -7913.9581  0.2722 
   00036    0.4292   -7902.1720  0.2658 
   00037    0.4160   -7954.0565  0.2679 
   00038    0.4280   -7984.3554  0.2720 
   00039    0.4280   -7994.4653  0.2719 
   00040    0.4208   -8015.9338  0.2748 
   00041    0.4328   -8011.1920  0.2751 
   00042    0.4264   -7995.0124  0.2774 
   00043    0.4296   -7960.1996  0.2786 
   00044    0.4332   -7961.0545  0.2809 
   00045    0.4496   -7943.3099  0.2797 
   00046    0.4400   -7972.1156  0.2913 
   00047    0.4300   -8011.5033  0.2915 
   00048    0.4356   -8003.9977  0.2867 
   00049    0.4308   -8045.7020  0.2833 
   00050    0.4364   -8052.9059  0.2810 
