#=====================================================
# File created:        Wed-13-Mar-2024-at-02-30-12AM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        2.568883
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2449.3695  0.2573 
   00001    0.6960   -3726.2631  0.2632 
   00002    0.6200   -4477.4067  0.2722 
   00003    0.6140   -5081.7532  0.2640 
   00004    0.5548   -5496.7725  0.2637 
   00005    0.5340   -5771.8518  0.2732 
   00006    0.5164   -6094.8497  0.2845 
   00007    0.5172   -6387.9013  0.2803 
   00008    0.4936   -6581.8692  0.2807 
   00009    0.4964   -6756.8991  0.2839 
   00010    0.4936   -6886.9147  0.2807 
   00011    0.4780   -6981.2146  0.2874 
   00012    0.4824   -7122.1280  0.2903 
   00013    0.4524   -7189.3750  0.2946 
   00014    0.4588   -7307.3843  0.2990 
   00015    0.4548   -7396.4867  0.3082 
   00016    0.4312   -7441.3503  0.3038 
   00017    0.4408   -7509.5327  0.3056 
   00018    0.4432   -7580.2307  0.3194 
   00019    0.4464   -7631.7432  0.3130 
   00020    0.4388   -7662.0200  0.3083 
   00021    0.4520   -7687.5727  0.3124 
   00022    0.4440   -7645.1687  0.3187 
   00023    0.4388   -7670.3258  0.3200 
   00024    0.4312   -7708.1713  0.3181 
   00025    0.4628   -7747.6115  0.3218 
   00026    0.4668   -7804.5291  0.3204 
   00027    0.4264   -7851.3094  0.3195 
   00028    0.4388   -7900.5207  0.3227 
   00029    0.4268   -7903.2728  0.3299 
   00030    0.4332   -7886.8463  0.3383 
   00031    0.4344   -7842.9017  0.3434 
   00032    0.4284   -7906.8833  0.3439 
   00033    0.4336   -7957.5414  0.3458 
   00034    0.4248   -7977.7698  0.3491 
   00035    0.4196   -8023.5144  0.3474 
   00036    0.4064   -8016.8763  0.3490 
   00037    0.4300   -7960.1973  0.3576 
   00038    0.4312   -7994.4639  0.3552 
   00039    0.4272   -7979.9470  0.3552 
   00040    0.4308   -7995.6670  0.3611 
   00041    0.4336   -7986.1021  0.3606 
   00042    0.4436   -7998.8195  0.3587 
   00043    0.4308   -7997.7318  0.3620 
   00044    0.4272   -8046.0261  0.3557 
   00045    0.4448   -8037.1160  0.3574 
   00046    0.4208   -8059.3157  0.3632 
   00047    0.4124   -8103.5832  0.3634 
   00048    0.4188   -8091.7157  0.3689 
   00049    0.4244   -8113.3739  0.3732 
   00050    0.4376   -8138.4512  0.3801 
