#=====================================================
# File created:        Wed-13-Mar-2024-at-08-59-11AM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        2.487066
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2647.4588  0.2573 
   00001    0.6968   -3878.0859  0.2681 
   00002    0.6308   -4704.2015  0.2698 
   00003    0.5772   -5281.5651  0.2778 
   00004    0.5468   -5724.9484  0.2816 
   00005    0.5352   -6022.3538  0.2908 
   00006    0.5196   -6332.9428  0.2933 
   00007    0.5148   -6592.0350  0.2953 
   00008    0.4912   -6818.7235  0.2989 
   00009    0.4812   -6944.4222  0.3010 
   00010    0.4744   -7060.5548  0.3075 
   00011    0.4700   -7197.4262  0.3054 
   00012    0.4528   -7328.8957  0.3078 
   00013    0.4572   -7397.7078  0.3031 
   00014    0.4664   -7481.5539  0.3115 
   00015    0.4336   -7564.0367  0.3118 
   00016    0.4520   -7634.2763  0.3212 
   00017    0.4352   -7740.9877  0.3133 
   00018    0.4452   -7751.5045  0.3122 
   00019    0.4408   -7803.1145  0.3199 
   00020    0.4384   -7843.4236  0.3276 
   00021    0.4344   -7810.0989  0.3390 
   00022    0.4424   -7836.2161  0.3338 
   00023    0.4408   -7857.1582  0.3359 
   00024    0.4072   -7916.1166  0.3406 
   00025    0.4364   -7971.2860  0.3452 
   00026    0.4412   -7917.5080  0.3435 
   00027    0.4364   -7908.2136  0.3431 
   00028    0.4384   -7961.0719  0.3377 
   00029    0.4252   -8008.9684  0.3335 
   00030    0.4288   -8038.6014  0.3301 
   00031    0.4364   -8051.2372  0.3349 
   00032    0.4244   -8066.2936  0.3400 
   00033    0.4180   -8031.0154  0.3397 
   00034    0.4256   -8047.2053  0.3441 
   00035    0.4212   -8056.7293  0.3427 
   00036    0.4300   -8108.4314  0.3523 
   00037    0.4240   -8127.3287  0.3600 
   00038    0.4336   -8135.3178  0.3617 
   00039    0.4420   -8165.9065  0.3630 
   00040    0.4236   -8162.8442  0.3690 
   00041    0.4364   -8162.1380  0.3702 
   00042    0.4320   -8170.3854  0.3638 
   00043    0.4344   -8196.2000  0.3606 
   00044    0.4016   -8168.1044  0.3627 
   00045    0.4292   -8091.1483  0.3603 
   00046    0.4140   -8084.3792  0.3640 
   00047    0.4424   -8123.9393  0.3676 
   00048    0.4404   -8121.2530  0.3651 
   00049    0.4264   -8130.7701  0.3709 
   00050    0.4340   -8207.4146  0.3680 
