#=====================================================
# File created:        Wed-13-Mar-2024-at-08-55-14AM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        2.566178
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2481.7424  0.2617 
   00001    0.6936   -3826.3159  0.2735 
   00002    0.6140   -4668.0498  0.2746 
   00003    0.5836   -5243.9460  0.2835 
   00004    0.5544   -5654.3629  0.3022 
   00005    0.5348   -5967.1662  0.3073 
   00006    0.5164   -6220.6313  0.3192 
   00007    0.5100   -6456.7195  0.3191 
   00008    0.4980   -6604.9962  0.3166 
   00009    0.4916   -6821.7473  0.3247 
   00010    0.4916   -6941.8287  0.3292 
   00011    0.4720   -7141.5889  0.3342 
   00012    0.4564   -7254.4921  0.3316 
   00013    0.4452   -7279.1661  0.3321 
   00014    0.4580   -7309.6057  0.3419 
   00015    0.4600   -7409.1198  0.3487 
   00016    0.4336   -7489.3756  0.3517 
   00017    0.4712   -7494.9227  0.3565 
   00018    0.4684   -7539.5716  0.3531 
   00019    0.4404   -7594.5656  0.3568 
   00020    0.4512   -7709.0891  0.3546 
   00021    0.4348   -7729.4659  0.3516 
   00022    0.4452   -7756.0188  0.3568 
   00023    0.4524   -7808.4720  0.3639 
   00024    0.4440   -7817.6920  0.3558 
   00025    0.4364   -7858.5960  0.3544 
   00026    0.4488   -7867.9393  0.3608 
   00027    0.4208   -7872.2968  0.3605 
   00028    0.4188   -7874.0870  0.3613 
   00029    0.4408   -7936.0381  0.3665 
   00030    0.4236   -7929.5589  0.3704 
   00031    0.4516   -7913.7984  0.3712 
   00032    0.4260   -7970.7577  0.3740 
   00033    0.4168   -7951.4637  0.3790 
   00034    0.4224   -7969.2472  0.3893 
   00035    0.4304   -8019.6033  0.3929 
   00036    0.4488   -8049.6408  0.3903 
   00037    0.4416   -8034.2257  0.3864 
   00038    0.4304   -8101.1399  0.3914 
   00039    0.4136   -8090.0187  0.3941 
   00040    0.4272   -8118.6267  0.3939 
   00041    0.4172   -8155.7678  0.3962 
   00042    0.4484   -8097.2054  0.4002 
   00043    0.4372   -8075.6855  0.4036 
   00044    0.4212   -8144.8468  0.3994 
   00045    0.4140   -8176.6107  0.4056 
   00046    0.4368   -8193.8028  0.4165 
   00047    0.4284   -8182.3775  0.4201 
   00048    0.4184   -8193.7423  0.4141 
   00049    0.4176   -8206.1163  0.4144 
   00050    0.4024   -8182.8168  0.4161 
