#=====================================================
# File created:        Wed-13-Mar-2024-at-10-33-54AM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        2.634999
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2408.5060  0.2647 
   00001    0.6676   -3693.9246  0.2714 
   00002    0.6164   -4449.0725  0.2761 
   00003    0.5876   -5063.0188  0.2744 
   00004    0.5596   -5440.3502  0.2786 
   00005    0.5584   -5769.7397  0.2745 
   00006    0.5436   -6095.2952  0.2765 
   00007    0.5060   -6336.4514  0.2788 
   00008    0.4856   -6550.6076  0.2789 
   00009    0.4860   -6671.2894  0.2815 
   00010    0.4840   -6815.0960  0.2799 
   00011    0.4724   -6891.4323  0.2800 
   00012    0.4836   -7028.7180  0.2806 
   00013    0.4712   -7149.0244  0.2870 
   00014    0.4748   -7238.3427  0.2809 
   00015    0.4620   -7287.6988  0.2828 
   00016    0.4704   -7351.0948  0.2912 
   00017    0.4368   -7438.6086  0.2998 
   00018    0.4400   -7483.0432  0.3049 
   00019    0.4640   -7524.7803  0.3017 
   00020    0.4408   -7564.5176  0.3044 
   00021    0.4520   -7602.0189  0.3079 
   00022    0.4564   -7676.2172  0.3091 
   00023    0.4356   -7733.2839  0.3171 
   00024    0.4544   -7775.7789  0.3217 
   00025    0.4516   -7776.6621  0.3280 
   00026    0.4532   -7831.9234  0.3235 
   00027    0.4224   -7880.2563  0.3244 
   00028    0.4464   -7857.5170  0.3264 
   00029    0.4356   -7819.6297  0.3316 
   00030    0.4280   -7883.2228  0.3312 
   00031    0.4468   -7893.2105  0.3325 
   00032    0.4304   -7902.0434  0.3346 
   00033    0.4384   -7898.4997  0.3396 
   00034    0.4308   -7928.0303  0.3482 
   00035    0.4272   -7916.0281  0.3437 
   00036    0.4328   -7963.8590  0.3445 
   00037    0.4428   -7927.6795  0.3454 
   00038    0.4452   -7936.6672  0.3481 
   00039    0.4152   -7978.1010  0.3515 
   00040    0.4232   -8018.1628  0.3510 
   00041    0.4172   -7976.9542  0.3520 
   00042    0.4268   -7989.1765  0.3465 
   00043    0.4324   -8016.4534  0.3491 
   00044    0.4304   -7975.2427  0.3508 
   00045    0.4228   -7995.3866  0.3403 
   00046    0.4168   -8062.0300  0.3445 
   00047    0.4456   -8059.2475  0.3531 
   00048    0.4240   -8121.6144  0.3504 
   00049    0.4196   -8161.7487  0.3488 
   00050    0.4264   -8155.2909  0.3545 
