#=====================================================
# File created:        Wed-13-Mar-2024-at-08-59-02AM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        2.661728
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2560.1603  0.2641 
   00001    0.6824   -3713.4716  0.2817 
   00002    0.6028   -4484.0405  0.2750 
   00003    0.5952   -5022.4661  0.2733 
   00004    0.5548   -5496.6063  0.2767 
   00005    0.5500   -5903.1490  0.2666 
   00006    0.5216   -6150.0103  0.2711 
   00007    0.5000   -6400.6203  0.2714 
   00008    0.5060   -6532.5900  0.2667 
   00009    0.4704   -6650.6328  0.2686 
   00010    0.4676   -6854.8591  0.2687 
   00011    0.4652   -6980.9091  0.2734 
   00012    0.4832   -7068.3371  0.2754 
   00013    0.4892   -7163.4793  0.2738 
   00014    0.4664   -7221.6366  0.2761 
   00015    0.4748   -7350.0706  0.2766 
   00016    0.4812   -7421.0704  0.2808 
   00017    0.4484   -7497.7557  0.2832 
   00018    0.4596   -7512.0284  0.2782 
   00019    0.4480   -7527.3149  0.2755 
   00020    0.4508   -7575.4303  0.2746 
   00021    0.4360   -7616.1626  0.2769 
   00022    0.4456   -7668.8413  0.2788 
   00023    0.4328   -7668.9477  0.2817 
   00024    0.4636   -7664.6462  0.2773 
   00025    0.4524   -7702.3270  0.2810 
   00026    0.4492   -7678.8502  0.2807 
   00027    0.4232   -7727.2547  0.2817 
   00028    0.4432   -7783.3440  0.2817 
   00029    0.4468   -7839.6503  0.2823 
   00030    0.4508   -7819.7711  0.2763 
   00031    0.4384   -7786.6427  0.2728 
   00032    0.4532   -7839.4515  0.2728 
   00033    0.4544   -7915.1511  0.2724 
   00034    0.4340   -7897.1050  0.2710 
   00035    0.4448   -7867.9294  0.2684 
   00036    0.4540   -7916.6962  0.2641 
   00037    0.4456   -7897.4840  0.2647 
   00038    0.4332   -7951.8254  0.2693 
   00039    0.4408   -7975.1974  0.2717 
   00040    0.4432   -8011.6846  0.2739 
   00041    0.4416   -7979.2269  0.2758 
   00042    0.4380   -8027.0355  0.2773 
   00043    0.4264   -8052.4416  0.2792 
   00044    0.4312   -8058.3514  0.2857 
   00045    0.4260   -8047.9109  0.2916 
   00046    0.4508   -8031.3438  0.3011 
   00047    0.4476   -8046.0685  0.3035 
   00048    0.4228   -8014.5478  0.3002 
   00049    0.4316   -8072.9988  0.3061 
   00050    0.4340   -8089.4379  0.3037 
