#=====================================================
# File created:        Wed-13-Mar-2024-at-02-27-41AM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.970370
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2418.3892  0.2558 
   00001    0.6888   -3620.6293  0.2615 
   00002    0.6300   -4391.3991  0.2585 
   00003    0.5976   -4950.0725  0.2655 
   00004    0.5616   -5421.2307  0.2794 
   00005    0.5428   -5674.7846  0.2834 
   00006    0.5304   -5962.7116  0.2926 
   00007    0.4916   -6185.7652  0.2852 
   00008    0.4864   -6432.3398  0.2906 
   00009    0.5020   -6660.3345  0.2841 
   00010    0.4952   -6801.8179  0.2771 
   00011    0.4740   -6960.4007  0.2877 
   00012    0.4696   -7100.1778  0.2953 
   00013    0.4668   -7202.1037  0.2924 
   00014    0.4648   -7253.9858  0.2906 
   00015    0.4416   -7327.3418  0.2956 
   00016    0.4620   -7443.0705  0.2980 
   00017    0.4516   -7502.8496  0.3048 
   00018    0.4452   -7486.8070  0.3040 
   00019    0.4344   -7513.6853  0.3070 
   00020    0.4608   -7577.4267  0.3065 
   00021    0.4496   -7589.0735  0.3063 
   00022    0.4508   -7625.5336  0.3111 
   00023    0.4412   -7626.1154  0.3193 
   00024    0.4396   -7643.0829  0.3180 
   00025    0.4532   -7667.9538  0.3210 
   00026    0.4492   -7722.9647  0.3239 
   00027    0.4552   -7723.5472  0.3186 
   00028    0.4384   -7755.0407  0.3229 
   00029    0.4316   -7745.8632  0.3243 
   00030    0.4380   -7809.1863  0.3267 
   00031    0.4384   -7829.5476  0.3249 
   00032    0.4468   -7821.4501  0.3311 
   00033    0.4452   -7819.5275  0.3284 
   00034    0.4376   -7869.8188  0.3319 
   00035    0.4380   -7896.2969  0.3338 
   00036    0.4312   -7920.2706  0.3435 
   00037    0.4244   -7968.8871  0.3485 
   00038    0.4276   -7961.7055  0.3491 
   00039    0.4376   -8018.8780  0.3516 
   00040    0.4252   -8040.7733  0.3519 
   00041    0.4304   -8053.0194  0.3481 
   00042    0.4368   -8055.8137  0.3524 
   00043    0.4208   -8066.7043  0.3458 
   00044    0.4364   -8047.6786  0.3480 
   00045    0.4216   -8076.1048  0.3454 
   00046    0.4340   -8104.2785  0.3442 
   00047    0.4324   -8091.4073  0.3483 
   00048    0.4364   -8127.8654  0.3462 
   00049    0.4344   -8127.1229  0.3454 
   00050    0.4372   -8098.8007  0.3520 
