#=====================================================
# File created:        Wed-13-Mar-2024-at-10-27-25AM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        2.732766
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2486.4804  0.2652 
   00001    0.7008   -3760.9112  0.2648 
   00002    0.6076   -4560.0079  0.2737 
   00003    0.5884   -5164.6794  0.2733 
   00004    0.5424   -5617.5276  0.2704 
   00005    0.5144   -5960.1408  0.2747 
   00006    0.5096   -6195.9619  0.2797 
   00007    0.5120   -6425.1384  0.2747 
   00008    0.4936   -6590.4944  0.2748 
   00009    0.4868   -6746.3741  0.2778 
   00010    0.4608   -6949.9249  0.2734 
   00011    0.4740   -7018.4955  0.2697 
   00012    0.4840   -7081.9631  0.2722 
   00013    0.4596   -7123.4133  0.2723 
   00014    0.4492   -7253.7962  0.2828 
   00015    0.4744   -7283.9963  0.2889 
   00016    0.4504   -7340.2700  0.2902 
   00017    0.4512   -7419.2981  0.2958 
   00018    0.4620   -7500.2804  0.2909 
   00019    0.4492   -7575.5095  0.2884 
   00020    0.4612   -7647.8972  0.3005 
   00021    0.4336   -7643.0449  0.3072 
   00022    0.4516   -7713.1120  0.3119 
   00023    0.4424   -7762.8396  0.3098 
   00024    0.4336   -7769.5496  0.3078 
   00025    0.4268   -7821.7633  0.3097 
   00026    0.4424   -7813.4363  0.3101 
   00027    0.4560   -7848.5515  0.3187 
   00028    0.4300   -7891.3544  0.3143 
   00029    0.4172   -7926.5308  0.3227 
   00030    0.4364   -7935.6727  0.3213 
   00031    0.4364   -7909.3960  0.3186 
   00032    0.4300   -7932.2235  0.3216 
   00033    0.4284   -7971.2754  0.3211 
   00034    0.4568   -8046.1313  0.3237 
   00035    0.4428   -8051.2414  0.3187 
   00036    0.4340   -8067.7141  0.3229 
   00037    0.4404   -8049.4840  0.3277 
   00038    0.4216   -8071.2620  0.3352 
   00039    0.4264   -8037.0335  0.3309 
   00040    0.4360   -8062.6631  0.3355 
   00041    0.4232   -8060.4641  0.3347 
   00042    0.4208   -8111.0697  0.3343 
   00043    0.4228   -8118.0902  0.3388 
   00044    0.4192   -8121.1350  0.3448 
   00045    0.4340   -8129.9286  0.3486 
   00046    0.4164   -8127.2982  0.3452 
   00047    0.4240   -8153.2213  0.3501 
   00048    0.4168   -8159.7638  0.3501 
   00049    0.4260   -8149.6939  0.3459 
   00050    0.4360   -8153.4535  0.3515 
