#=====================================================
# File created:        Wed-13-Mar-2024-at-10-27-16AM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        3.084362
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2521.6974  0.2589 
   00001    0.6820   -3638.9797  0.2700 
   00002    0.6132   -4425.8392  0.2729 
   00003    0.5996   -5049.4851  0.2707 
   00004    0.5628   -5469.1426  0.2723 
   00005    0.5316   -5843.0345  0.2783 
   00006    0.5304   -6100.8624  0.2857 
   00007    0.5108   -6324.4182  0.2948 
   00008    0.4852   -6486.1553  0.2941 
   00009    0.4916   -6635.0448  0.2989 
   00010    0.5016   -6750.6649  0.3057 
   00011    0.4860   -6881.3502  0.3131 
   00012    0.4824   -6974.7230  0.3171 
   00013    0.4744   -7101.9656  0.3159 
   00014    0.4764   -7143.3950  0.3111 
   00015    0.4608   -7274.2721  0.3101 
   00016    0.4500   -7290.4728  0.3081 
   00017    0.4684   -7345.3399  0.3158 
   00018    0.4532   -7432.7472  0.3189 
   00019    0.4672   -7529.9278  0.3120 
   00020    0.4612   -7599.8868  0.3211 
   00021    0.4592   -7628.1349  0.3228 
   00022    0.4324   -7663.4144  0.3290 
   00023    0.4364   -7690.0511  0.3304 
   00024    0.4512   -7702.4695  0.3381 
   00025    0.4460   -7717.4916  0.3373 
   00026    0.4420   -7709.2302  0.3324 
   00027    0.4340   -7795.6488  0.3279 
   00028    0.4300   -7797.3978  0.3287 
   00029    0.4200   -7811.9693  0.3334 
   00030    0.4428   -7851.0521  0.3402 
   00031    0.4316   -7849.0542  0.3445 
   00032    0.4408   -7879.2363  0.3581 
   00033    0.4340   -7890.0250  0.3631 
   00034    0.4264   -7918.1559  0.3610 
   00035    0.4380   -7888.8201  0.3576 
   00036    0.4268   -7894.4419  0.3522 
   00037    0.4320   -7837.8002  0.3579 
   00038    0.4388   -7894.1537  0.3658 
   00039    0.4424   -7929.4446  0.3700 
   00040    0.4396   -7940.8997  0.3642 
   00041    0.4180   -7956.1522  0.3721 
   00042    0.4228   -7952.9251  0.3794 
   00043    0.4144   -7947.6522  0.3820 
   00044    0.4444   -7973.3627  0.3879 
   00045    0.4424   -7990.2046  0.3902 
   00046    0.4228   -8009.0013  0.3980 
   00047    0.4164   -8042.4835  0.4046 
   00048    0.4292   -8096.1078  0.4100 
   00049    0.4204   -8155.5082  0.4054 
   00050    0.4160   -8144.8485  0.4103 
