#=====================================================
# File created:        Wed-13-Mar-2024-at-10-32-54AM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        2.674416
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2437.5476  0.2550 
   00001    0.6796   -3693.8759  0.2547 
   00002    0.6212   -4525.2538  0.2642 
   00003    0.6040   -5069.0761  0.2578 
   00004    0.5648   -5401.6603  0.2660 
   00005    0.5276   -5783.2625  0.2691 
   00006    0.5176   -6075.0757  0.2707 
   00007    0.5096   -6337.7823  0.2796 
   00008    0.4988   -6538.9133  0.2805 
   00009    0.4796   -6732.6056  0.2914 
   00010    0.4868   -6915.9139  0.2891 
   00011    0.4632   -7069.7127  0.2945 
   00012    0.4888   -7144.0197  0.2967 
   00013    0.4580   -7226.6365  0.2960 
   00014    0.4636   -7270.2259  0.2939 
   00015    0.4640   -7320.5865  0.2924 
   00016    0.4528   -7400.1872  0.2906 
   00017    0.4528   -7439.0859  0.3004 
   00018    0.4336   -7469.1409  0.2972 
   00019    0.4568   -7545.1810  0.2967 
   00020    0.4540   -7589.3161  0.2944 
   00021    0.4416   -7627.0762  0.2950 
   00022    0.4476   -7651.8890  0.2935 
   00023    0.4600   -7733.2208  0.2965 
   00024    0.4360   -7783.5057  0.2990 
   00025    0.4280   -7796.9022  0.3059 
   00026    0.4364   -7826.2755  0.3133 
   00027    0.4360   -7860.6839  0.3160 
   00028    0.4408   -7869.3504  0.3155 
   00029    0.4364   -7914.9460  0.3189 
   00030    0.4344   -7915.0430  0.3221 
   00031    0.4304   -7904.1612  0.3240 
   00032    0.4288   -7921.1604  0.3252 
   00033    0.4400   -7946.0692  0.3316 
   00034    0.4308   -7944.4509  0.3264 
   00035    0.4244   -7950.1825  0.3264 
   00036    0.4332   -7978.3735  0.3337 
   00037    0.4256   -7960.6793  0.3304 
   00038    0.4476   -8013.1733  0.3298 
   00039    0.4100   -8041.7203  0.3369 
   00040    0.4276   -8042.0424  0.3356 
   00041    0.4428   -8064.5530  0.3425 
   00042    0.4312   -8088.6676  0.3386 
   00043    0.4308   -8098.2257  0.3386 
   00044    0.4460   -8063.3239  0.3304 
   00045    0.4032   -8056.1262  0.3331 
   00046    0.4448   -8112.3381  0.3404 
   00047    0.4332   -8124.8677  0.3423 
   00048    0.4412   -8144.8717  0.3492 
   00049    0.4028   -8164.6664  0.3486 
   00050    0.4320   -8180.1365  0.3430 
